_id,room,purpose
dd9acf32-2a03-4eef-a25a-9446ecb7e5cc,MOJODOJO,我沒有力氣走去圖書館我要在系窩唸書
b7d9d16a-95ba-4d8c-aebd-4c40c39db9ce,MOJODOJO,Study
6cfd0a52-a276-49ea-9e8d-83fd2bd96232,MOJODOJO,討論機掰程設
0f5547d4-0155-46a8-99c8-e2a577e2b7ad,MOJODOJO,畫畫🥹
0e4b5788-245a-4ada-8969-0eebf4dbd882,MOJODOJO,成語劇
cb70528c-0945-4f65-9c19-39d458f77fa6,MOJODOJO,成語劇
c1581cc9-c770-4084-ae1d-b1ad485f6a05,MOJODOJO,成語劇
658220e3-2145-49db-9852-04b974475040,MOJODOJO,我要看妖尾
299245c5-e756-4e64-9924-ac71f46e84f1,MOJODOJO,我要當烤香腸
23ffa521-db01-4841-bf80-3511f00f8d72,MOJODOJO,版本劇排練
69da337e-8608-4251-a5da-a006d80d9c6a,MOJODOJO,工管營討論
a559cd46-cb07-4f81-8278-d87286d23d55,MOJODOJO,成語劇
0ac352b0-b3e7-4268-a173-c3184579ac69,MOJODOJO,練歌
47a9fc20-ea95-411b-b125-8b3ecf154b1f,MOJODOJO,工管營做道具
c07c0a41-4572-4366-8083-06ab35a595ee,MOJODOJO,教學組討論
48b0f302-65e3-44c2-982b-03154ded697b,MOJODOJO,討論
399164f5-d48e-4502-9420-30b42a777925,MOJODOJO,free night
ecc7e309-7b41-4a5a-8ca5-61f88a864f89,MOJODOJO,安居樂業
a15cc133-2602-4ae1-aa02-0f4c779e51a4,MOJODOJO,睡波大的
e84e85df-974a-4280-b8d9-eab0d07b510b,MOJODOJO,討論
55ee3224-41a5-4cfa-9e0b-a1e55d52ad7e,MOJODOJO,討論
6be1c3ea-b3e1-49d6-9c65-21e09213f1b9,MOJODOJO,討論
4ba8d5fd-ae33-4287-886f-eeae7a976de7,MOJODOJO,好想跳game
b477655f-e9dd-4e05-82e3-7f78c78cc331,MOJODOJO,👍
4577a91f-133f-4bad-99e3-46ac3c09c91a,MOJODOJO,專題討論
57925c8a-3861-46d3-9805-31b586976bcf,MOJODOJO,專題討論
780afb56-ff61-426f-86db-27536a5ba23a,MOJODOJO,作業討論
074cf3bd-304c-449f-af6c-23aa74b5a1a5,MOJODOJO,討論專題
b2bed6da-e3a1-4a9c-a90e-b6fdb6f1cc2d,MOJODOJO,😀
faea886a-e1ca-4b59-b185-c8d81e88e75c,MOJODOJO,開會
ec7fb7a2-49e8-4639-861f-09bac6307a3f,MOJODOJO,娛樂
3d08736c-f9bc-49a7-bd3e-8750de591463,MOJODOJO,討論作業
4c6099bc-5534-4205-a57f-d48cc7959560,MOJODOJO,聚會
cab56829-aeb3-4bc2-ba59-7c7b8ca392a5,MOJODOJO,躲起來偷吃
184bd36e-ad28-446b-a9e6-3f36396e185b,MOJODOJO,練劇
ff5d1278-7565-4f8d-ba7e-76c913b920d5,MOJODOJO,免費夜晚
419c2951-658c-4190-a145-bac61219b551,MOJODOJO,聚
60dc6c89-ccf5-4716-ae43-2c6db0ed2973,MOJODOJO,討論作業
5c951c50-0232-4b78-85c3-38a5576c08b0,MOJODOJO,製作道具
1a507e6a-57e5-4720-a180-1e59a48d7cff,MOJODOJO,卡片
6df82b3b-9961-4fda-82a9-01dcc0ecf63a,MOJODOJO,討論
adb669ae-99a5-4f2c-9a34-d4d31481cb9f,MOJODOJO,練劇
eb80f627-7331-4b50-bd6a-387162028897,MOJODOJO,製作繁星獨白
8c60d5c2-bf46-492e-91fc-67f2d26fb2ae,MOJODOJO,勉強です
27dfba4b-5015-4133-9056-09ec2ed13e05,MOJODOJO,👍
d2defd78-bfaa-4051-a4f1-7ad71edc7646,MOJODOJO,工作研究報告
3af457b7-1eae-48f2-9126-af930cf9f6e1,MOJODOJO,討論
361ecd0d-d76a-4b71-9e4c-c59de2a865f1,MOJODOJO,The 
50ac1332-6f20-4f48-84bc-ff2ea63ae462,MOJODOJO,畫系服
132a148f-4fec-4df9-b080-337d5aacd8d0,MOJODOJO,開會
de9f4605-1a5b-413a-8708-c673c5b49045,MOJODOJO,開會
36b6d20f-fbef-45ec-9d17-d86746836d8c,MOJODOJO,開會
705369ad-d7af-417c-9c6b-d92546487c69,MOJODOJO,開會
e9f4189b-3aa0-403b-9fba-327c8d3dc9f1,MOJODOJO,開會
38bc80f4-683d-433e-86f8-48e0e1c10f0f,MOJODOJO,開會
dc04247f-3dc2-4fe4-a595-fa7c228be281,MOJODOJO,開會
f83d111f-603b-4bc4-b6ea-c2dd799291cf,MOJODOJO,練習
abd23f52-1419-4b04-87f5-619809708f39,MOJODOJO,感情交流
98263b9c-06d3-4778-8d07-4b758eaaebe1,MOJODOJO,報告討論
db781891-945c-4634-bdc3-10b296e44d94,MOJODOJO,討論
69484b00-2dbd-420b-84e7-dbec6f6c8c9d,MOJODOJO,討論
a19a82ab-9a04-458c-b711-9e4af8cac181,MOJODOJO,討論
d2b1cbb4-2d34-4927-8005-d6dc3a323e95,MOJODOJO,討論
d8389891-62eb-4298-8b6a-e54937e37dc0,MOJODOJO,開會討論
5a0d84b1-21cf-4dfd-b3aa-120c89fbecad,MOJODOJO,討論
56a6641f-46ae-41ca-bb3e-ef5915bd8bb7,MOJODOJO,好玩
d638478f-2ab2-457b-8e27-c83ef7e54741,MOJODOJO,討論
9236c25a-f291-4ac1-ac2e-15bff930ac31,MOJODOJO,嘿嘿
5765133d-c8cc-4d49-9312-c0a4d09c8317,MOJODOJO,討論作業
37ec8d04-2377-4834-abc8-4c131e0d63f2,MOJODOJO,討論作業
5563c658-5ba8-4644-9fcc-c74df7d2a5ae,MOJODOJO,好玩
96b26ce8-285f-457f-ac97-c788702d0fa1,MOJODOJO,排毒
494baeef-05da-4ec1-91ae-39303384d89b,MOJODOJO,討論
b2a71d47-a6a2-4a8b-90bc-710c405a8944,MOJODOJO,👍
688b0d40-dbe5-4197-bda4-71b5635ca8f9,MOJODOJO,👍
e3305461-9b03-40a6-8f21-c186a3d4fc20,MOJODOJO,討論
ec608247-9be9-4e8d-b498-bc9c4dd594de,MOJODOJO,讀書
f72ff889-d708-4f18-b315-9a6466f04d05,MOJODOJO,討論
47ab8a23-c76c-4b85-9bba-8248b6045a47,MOJODOJO,討論
9bbe94e3-4089-4bd9-8f57-6a31057153ba,MOJODOJO,讀書
1534da23-bcff-4bb2-8b3f-4617bee34d43,MOJODOJO,討論
7be60dd9-2fb4-42b9-83b4-77aa4c86bd86,MOJODOJO,討論
054de815-11d2-4e84-a6d2-94573f2fbf15,MOJODOJO,討論
cfb4f381-fd1a-4437-8e8e-f2d737b6f66f,MOJODOJO,(〃'▽'〃) 
b40e4ea7-4ae2-4d37-b199-126ee669c6c1,MOJODOJO,討論
c9be89a7-10cd-480b-884d-15e573ea6288,MOJODOJO,開會
9a425684-e560-4e5f-9448-a0ceadca3932,MOJODOJO,工作研究討論
0b5f3955-6fc8-44cf-a470-883b0eb0aa68,MOJODOJO,討論
eb0895d8-962b-4456-af7c-8af1675ffcbe,MOJODOJO,討論
6324696f-7256-4f26-9fc0-a8dea29f17b2,MOJODOJO,討論
b741979f-b11c-4d2e-bb3b-2888d11aad47,MOJODOJO,工管營開會
6dc4f0f6-cd22-4c96-97f1-fe6fb2a942fe,MOJODOJO,開會
160221f6-a7c0-4d71-a01b-f825cef1fe06,MOJODOJO,讀書
996c27b7-69be-4f33-8f24-44b22f7969d8,MOJODOJO,付不起冷氣卡了
9c3374fb-7792-4765-8e9e-dd2b49b13ae4,MOJODOJO,討論
ce07759d-c58c-4e17-b927-66a227e4929a,MOJODOJO,討論
25bf92d8-df2d-4182-8fbe-71c66461c396,MOJODOJO,討論
446d517b-becc-4fc9-9a90-f15102f6be60,MOJODOJO,討論
bd7faa3b-3c89-4507-b6be-65e9a11eb184,MOJODOJO,冥想
3ba247a6-3e02-4f38-9df4-6464f2ebd7ba,MOJODOJO,開會
6aee31c8-9f1f-43d4-bbac-0fcef5596cf4,MOJODOJO,和統計約會
26731436-3751-4087-a322-8c8c198a8f4b,MOJODOJO,討論
2689e405-f4e1-4b24-b0e6-856754333159,MOJODOJO,討論
183266ba-2936-4055-9b53-86f7efb39561,MOJODOJO,討論
e43e04fd-c2dd-42b0-b9e0-6b35976e8a5c,MOJODOJO,👍
b7249928-2b94-4466-989d-5acc3d249ac7,MOJODOJO,畫線
631696cc-d00f-47b2-9de1-bf106b163f25,MOJODOJO,工圖一某
d92d5d3a-8826-406d-9b68-13ea4a412350,MOJODOJO,討論
0445c1ac-40b5-449f-be01-b8ddbf0c5923,MOJODOJO,討論
235932ea-6909-4153-9523-1cbf2bb31b3c,MOJODOJO,不用畫線了
bc2b0c7a-005a-4c51-bd79-9f399cd7e13c,MOJODOJO,有人過太潤
fcca97a4-46e0-4b06-8ede-c81bd0288f45,MOJODOJO,我也想好潤
8d630fb4-e5d4-45b6-aaed-9fa6562c8fdf,MOJODOJO,非常好專題
